"STATISTIC","Statistic","TLIST(D1)","Date","C02196V02652","County","UNIT","VALUE"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1105","Monaghan","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1106","Sligo","%","48.1"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1201","Laois","%","47.9"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1202","Longford","%","48.9"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1203","Offaly","%","46.7"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1204","Westmeath","%","53.8"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1303","Mayo","%","45.4"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1304","Roscommon","%","45.4"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE21","Dublin","%","70.3"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2201","Kildare","%","49.3"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2202","Meath","%","50.6"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2203","Wicklow","%","50.8"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2301","Clare","%","49"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2401","Carlow","%","44.4"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2402","Kilkenny","%","51.2"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE05122","Tipperary","%","47.6"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2406","Wexford","%","50"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE2503","Kerry","%","51.4"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE05316","Cork","%","55"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE04225","Galway","%","49.7"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE05118","Limerick","%","55.9"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE05225","Waterford","%","58.6"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","-","State","%","56.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1101","Cavan","%","47.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1102","Donegal","%","47"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1103","Leitrim","%","45.7"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1104","Louth","%","59.6"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1105","Monaghan","%","49.3"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1106","Sligo","%","48.1"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1201","Laois","%","47.8"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1202","Longford","%","48.6"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1203","Offaly","%","46.4"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1204","Westmeath","%","53.6"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1303","Mayo","%","45.2"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE1304","Roscommon","%","45.3"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE21","Dublin","%","70.6"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2201","Kildare","%","49.1"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2202","Meath","%","50.2"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2203","Wicklow","%","50.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2301","Clare","%","48.8"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2401","Carlow","%","44.2"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2402","Kilkenny","%","51"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE05122","Tipperary","%","47.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2406","Wexford","%","49.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE2503","Kerry","%","51.5"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE05316","Cork","%","55.1"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE04225","Galway","%","49.9"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE05118","Limerick","%","55.9"
"SLI01C01","Staying Local Indicator","2020M01D10","2020 January 10","IE05225","Waterford","%","58.6"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","-","State","%","56.7"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1101","Cavan","%","47.6"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1102","Donegal","%","46.9"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1103","Leitrim","%","45.6"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1104","Louth","%","59.6"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1105","Monaghan","%","49.3"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1106","Sligo","%","48.3"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1201","Laois","%","48"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1202","Longford","%","48.8"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1203","Offaly","%","46.5"
"SLI01C01","Staying Local Indicator","2020M01D11","2020 January 11","IE1204","Westmeath","%","53.6"
